kode_klasifikasi;jenis_klasifikasi;jenis_arsip;waktu_aktif_num;waktu_aktif_ket;waktu_inaktif_num;waktu_inaktif_ket;nasib_akhir;nasib_akhir_ket
PK 01.04;Substantif;"Registrasi Klien Pemasyarakatan : Naskah-naskah yang berkaitan dengan kegiatan :
a. pemeriksaan kelengkapan dokumen serta berkas Klien Pemasyarakatan
b. pencatatan penerimaan Klien Pemasyarakatan di Bapas
c. pemeriksaan kesehatan
d. pembuatan pas photo
e. pembuatan sidik jari / dokumentasi sidik jari
f. pembuatan berita acara serah terima Klien Pemasyarakatan
";2;;3;;Musnah;
PK 01.05;Substantif;"Registrasi Titipan : Naskah-naskah yang berkaitan dengan kegiatan :
a. pemeriksaan kelengkapan dokumen serta berkas Titipan
b. pencatatan penerimaan Registrasi
c. Pemeriksaan kesehatan.
d. pembuatan pas photo
e. pembuatan sidik jari/dokumentasi sidik jari.
f. pembuatan berita acara serah terima titipan
";2;;3;;Musnah;
PK 01.06;Substantif;"Admisi Orientasi: Naskah-naskah yang berkaitan dengan Admisi Orientasi bagiTahanan, Narapidana, dan Anak/Anak Binaan
";1;;1;;Musnah;
PK 02.01;Substantif;"Tahanan : Naskah-naskah yang berkaitan dengan kegiatan pelaksanaan assessment dan Klasifikasi terhadap Narapidana dan Anak.
";1;;1;;Musnah;
PK 02.02;Substantif;"Narapidana dan Anak : Naskah-naskah yang berkaitan dengan kegiatan pelaksanaan assessment dan Klasifikasi terhadap Narapidana dan Anak.
";1;;1;;Musnah;
PK 02.03;Substantif;"Anak : Naskah-naskah yang berkaitan dengan kegiatan pelaksanaan assessment dan klasifikasi terhadap Anak dan
Anak Binaan
";1;;1;;Musnah;
PK 02.04;Substantif;"Klien : Naskah-naskah yang berkaitan dengan kegiatan
pelaksanaan assessment dan Klasifikasi terhadap Klien bapas
";1;;1;;Musnah;
PK 03.01;Substantif;"Tahanan :Naskah-naskah yang berkaitan dengan data Statistik
Tahanan
";;Selama masih dipergunakan ;1;;Musnah;kecuali tokoh nasional permanen
PK 03.02;Substantif;"Narapidana : Naskah-naskah yang berkaitan dengan data Statistik
Narapidana
";;Selama masih dipergunakan ;3;;Musnah;kecuali tokoh nasional permanen
PK 03.03;Substantif;Anak : Naskah-naskah yang berkaitan dengan data Statistik Anak dan Anak Binaan;;Selama masih dipergunakan ;1;;Permanen;
PK 03.04;Substantif;"Klien Pemasyarakatan : Naskah-naskah yang berkaitan dengan data Statistik Klien Pemasyarakatan
";;Selama masih dipergunakan ;1;;Permanen;
PK 03.05;Substantif;"Titipan : Naskah-naskah yang berkaitan dengan data Statistik WBP yang dititipkan di UPT lain dalam rangka untuk pembinaan
atau perawatan
";;Selama masih dipergunakan ;1;;Permanen;
PK 03.06;Substantif;" Benda Sitaan/Barang Rampasan : Naskah-naskah yang berkaitan dengan  data Statistik Benda Sitaan/Barang Rampasan
";;Selama masih dipergunakan ;1;;Permanen;
PK 04.01;Substantif;"Penelitian Kemasyarakatan (LITMAS) : Naskah-naskah yang berkaitan dengan kegiatan Pembuatan Penelitian Kemasyarakatan (Litmas) untuk warga binaan yang akan bebas bersyarat, cuti menjelang bebas, cuti mengunjungi keluarga, asimilasi, dan pembinaan dalam/mutasi;  serta  untuk  pendampingan  anak  yang
berhadapan dengan hukum.
";1;;1;;Musnah;
PK 04.02;Substantif;"Pidana Bersyarat (PiB) : Naskah-naskah yang berkaitan dengan pelaksanaan Pidana Bersyarat
";1;;1;;Musnah;
